ts,ad_id,model_key,price,condition,extras,location,title
2026-09-12T13:38:42+00:00,3510469950,steamdeck_oled,279,gebraucht,0,04610 Meuselwitz,"Steam Deck OLED 1,512 TB"
2026-09-12T13:38:42+00:00,3510455301,steamdeck,700,gebraucht,0,12685 Marzahn,Steam Deck 1 TB
2026-09-12T13:38:42+00:00,3510427532,steamdeck,250,gebraucht,0,65428 Rüsselsheim,Steam deck 64+512
2026-09-12T13:38:42+00:00,3510435233,steamdeck_oled,390,gebraucht,0,95100 Selb,Steam Deck OLED 1TB
2026-09-12T13:38:42+00:00,3510358178,steamdeck_oled,650,gebraucht,0,21035 Hamburg Allermöhe,Steamdeck Oled 1 TB
2026-09-12T13:38:42+00:00,3510316966,steamdeck_oled,600,gebraucht,0,25524 Itzehoe,Steam Deck OLED 512GB mit Docking Station und Tasche
2026-09-12T13:38:42+00:00,3510162412,steamdeck,400,gebraucht,0,42859 Remscheid,Steam Deck LCD 256gb inkl original Dock
2026-09-12T13:38:42+00:00,3510159623,steamdeck,499,gebraucht,0,85737 Ismaning,Valve Steam Deck 512 GB LCD
2026-09-12T13:38:42+00:00,3510153179,steamdeck_oled,600,neu,0,73460 Hüttlingen,Steam Deck 512GB OLED
2026-09-12T13:38:42+00:00,3510071529,steamdeck_oled,590,gebraucht,0,48165 Hiltrup,Steam Deck Oled 512gb + 512 gb MicroSDXC Karte
2026-09-12T13:38:42+00:00,3510035548,steamdeck_oled,700,neu,0,10245 Friedrichshain,Valve Steam Deck OLED 512 GB Schwarz - neu & OVP
2026-09-12T13:38:42+00:00,3510030248,steamdeck_oled,550,gebraucht,0,74177 Bad Friedrichshall,Steam Deck OLED 1 TB
2026-09-12T13:38:42+00:00,3509924789,steamdeck,380,gebraucht,0,42119 Elberfeld,Steam Deck LCD 256gb
2026-09-12T13:38:42+00:00,3509809090,steamdeck_oled,600,neu,0,96515 Sonneberg,Steam Deck OLED 1 TB neu
2026-09-12T13:38:42+00:00,3509806480,steamdeck_oled,650,gebraucht,0,53842 Troisdorf,Steam Deck OLED 512 GB inkl. 512 GB Speicherkarte
2026-09-12T13:42:00+00:00,3510582141,ps5_disc,300,gebraucht,1,28816 Stuhr,playstation 5 + TV × 2x Controller
2026-09-12T13:42:00+00:00,3510581210,ps5_slim,550,gebraucht,0,13585 Spandau,Ps5 slim disc edition
2026-09-12T13:42:00+00:00,3509979473,ps5_disc,400,gebraucht,0,76726 Germersheim,PlayStation 5 Disc Version mit 1. Controller
2026-09-12T13:42:00+00:00,3510580508,ps5_slim,350,gebraucht,0,42857 Remscheid,Sony PlayStation 5 Slim (Disc Edition) 1TB – Voll funktionsfähig
2026-09-12T13:42:00+00:00,3510578573,ps5_digital,350,gebraucht,0,35260 Stadtallendorf,PS5 Digital Editio
2026-09-12T13:42:08+00:00,3510582891,switch,95,gebraucht,0,12623 Mahlsdorf,Nintendo Switch Tablet nur Konsole
2026-09-12T13:42:08+00:00,3510581379,switch,150,gebraucht,0,27639 Dorum,Nintendo Switch mit SD Karte
2026-09-12T13:42:08+00:00,3510516976,switch2,400,neu,0,15370 Petershagen,Nintendo Switch 2 Komplett-Set + Tasche + OVP + Zubehör
2026-09-12T13:45:18+00:00,3510586149,ps5_digital,500,gebraucht,0,71069 Sindelfingen,Sony PlayStation 5 Digital Edition neuwertig mit Zubehör
2026-09-12T13:45:18+00:00,3510583097,ps5_pro,800,gebraucht,0,26123 Oldenburg,PlayStation 5 Pro
2026-09-12T13:45:20+00:00,3510586288,switch,185,gebraucht,0,64297 Darmstadt,Nintendo Switch Konsole Picofly 512GB BITTE LESEN
2026-09-12T13:45:20+00:00,3510586284,switch,280,gebraucht,0,46145 Oberhausen,Nintendo Switch Animal Crossing Edition mit Zubehör & Spielen
2026-09-12T13:45:20+00:00,3510585990,switch_lite,115,neu,0,63067 Offenbach,Nintendo Switch Lite Koralle mit OVP
2026-09-12T13:45:20+00:00,3510585767,switch_oled,190,gebraucht,0,31162 Bad Salzdetfurth,Nintendo Switch OLED in weiß inklusive Maro Kart Lenkräder
2026-09-12T13:45:20+00:00,3510583045,switch2,500,neu,0,38723 Seesen,Nintendo Switch 2 Pokemon Pokopia Bundle Edition neu ungeöffnet
2026-09-12T13:45:22+00:00,3510480115,xbox_series_x,849,neu,0,01217 Strehlen,Xbox Series X 1TB Carbon Black - Disc - NEU - ungeöffnet
2026-09-12T13:48:30+00:00,3510590841,switch,195,gebraucht,1,92361 Berngau,"Nintendo Switch mit 3 Spielen, Dock & Originalzubehör"
2026-09-12T13:48:30+00:00,3510590600,switch,165,gebraucht,0,28309 Hemelingen,Nintendo Switch Konsole mit Zubehör und Tasche
2026-09-12T13:48:30+00:00,3510588879,switch_lite,100,neu,0,10318 Karlshorst,Nintendo Switch Lite NEU
2026-09-12T13:48:30+00:00,3509982864,switch_oled,230,neu,0,88142 Wasserburg,Nintendo Switch OLED + Zubehör und OVP
2026-09-12T13:48:30+00:00,3510587443,switch,200,gebraucht,0,82538 Geretsried,Nintendo Switch V2 Konsole mit Zubehör
2026-09-12T13:51:42+00:00,3510594485,switch_oled,260,gebraucht,0,06118 Halle,Nintendo Switch OLED Modell Konsole mit Spielen und Zubehör
2026-09-12T13:51:42+00:00,3510593857,switch_oled,249,gebraucht,0,77704 Oberkirch,Nintendo Switch OLED Konsole
2026-09-12T13:51:42+00:00,3510591511,switch_oled,280,gebraucht,0,04178 Burghausen-Rückmarsdorf,Nintendo Switch OLED inkl. Zubehör
